          x            y
-1.36443567  26.17301402
-0.24627342   1.23170319
-0.28027680   3.14295450
-0.92998589   9.94005564
1.03272094  -5.24861262
0.11789774   1.28827917
-0.20884710   2.88384416
1.03332094  -4.04818993
0.20932093   3.32142336
0.35952716   2.11269241
0.78931001   0.43956295
-0.39802892   2.40604930
-1.43682082  30.25631349
0.12029646   1.74036351
-0.99113216  12.27843996
-0.33113396   2.61673018
-0.52185685   3.36281220
-0.04257050   1.90087114
-0.77861677   6.61434478
-0.33745759   2.63002550
-1.17121133  17.90088783
0.13275224   2.23618091
-0.11795528   2.91946372
1.54702559 -23.15946387
-1.12742171  16.16021467
-1.62140799  41.80470106
-0.26192442   1.70160920
0.04669778   1.94501487
-0.21876152   2.10064761
0.02915197   1.69863771
-0.15179770   3.13944870
-1.19000811  19.20895553
0.24346565   0.42886060
-0.66675359   6.71350218
-2.62119853 161.52366696
1.61267239 -27.10812046
-0.75761194   6.08798914
0.25845672   1.42920032
0.10756600   2.55197020
-1.33848423  25.12278787
0.66126294   0.15491717
1.16168761  -7.52396923
-0.11730656   1.03256860
-1.32066571  22.84811538
1.96245357 -50.41764773
-0.18766795   1.81569499
-0.68015029   4.37015587
0.79255943  -1.29062002
-1.88110625  61.16579100
-0.11667231   1.21042436
